pid,task,count,configs
3,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
3,MENU_NAVIGATION,5,"[(1020, 450, 1160, 620), (1210, 640, 1390, 880), (520, 290, 700, 580), (900, 410, 1060, 700), (640, 630, 840, 880)]"
3,DRAGGING,5,"[(1226, 280, 700, 150), (1286, 660, 630, 260), (490, 840, 1356, 400), (1286, 240, 430, 250), (500, 210, 1256, 490)]"
3,POINT_N_CLICK,5,"[(1094, 190, 470, 464, 1338, 828), (470, 180, 1348, 494, 894, 868), (500, 574, 1408, 818, 714, 180), (430, 464, 1398, 858, 854, 200), (744, 220, 450, 878, 1318, 534)]"
4,BA_POINT,5,"[(720, 170), (830, 670), (420, 790), (420, 510), (1180, 530)]"
4,BA_LEFT_CLICK,5,"[(1130, 750), (1270, 420), (1370, 210), (890, 400), (1360, 730)]"
4,BA_RIGHT_CLICK,5,"[(750, 260), (1230, 840), (820, 820), (1380, 340), (490, 520)]"
4,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
4,DRAGGING,5,"[(520, 340, 1126, 290), (590, 270, 1136, 880), (460, 340, 1176, 150), (1306, 420, 530, 230), (550, 770, 1246, 340)]"
4,POINT_N_CLICK,5,"[(1044, 878, 450, 544, 1388, 240), (500, 230, 724, 838, 1358, 584), (1328, 240, 460, 534, 974, 868), (724, 858, 1408, 160, 400, 444), (400, 554, 724, 868, 1338, 150)]"
4,MENU_NAVIGATION,5,"[(1230, 470, 1330, 670), (1100, 200, 1200, 460), (620, 380, 790, 650), (880, 670, 1040, 870), (530, 380, 690, 570)]"
5,BA_POINT,5,"[(710, 240), (740, 440), (1010, 830), (1400, 440), (1270, 420)]"
5,BA_LEFT_CLICK,5,"[(840, 200), (900, 720), (530, 650), (530, 790), (930, 400)]"
5,BA_RIGHT_CLICK,5,"[(1090, 550), (1010, 250), (1260, 360), (1290, 250), (1270, 560)]"
5,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
5,POINT_N_CLICK,5,"[(1044, 838, 480, 484, 1348, 200), (450, 220, 824, 464, 1378, 878), (874, 240, 430, 584, 1378, 818), (794, 818, 490, 564, 1318, 210), (1338, 230, 914, 798, 460, 524)]"
5,MENU_NAVIGATION,5,"[(690, 540, 820, 810), (620, 640, 730, 860), (840, 530, 1030, 800), (1090, 280, 1220, 490), (1140, 390, 1330, 540)]"
5,DRAGGING,5,"[(1386, 640, 490, 420), (540, 230, 1116, 780), (680, 780, 1396, 610), (670, 860, 1376, 560), (590, 490, 1346, 530)]"
6,BA_POINT,5,"[(860, 750), (1120, 160), (1290, 740), (520, 520), (1190, 160)]"
6,BA_LEFT_CLICK,5,"[(830, 380), (890, 500), (1270, 200), (460, 280), (1290, 400)]"
6,BA_RIGHT_CLICK,5,"[(830, 260), (660, 520), (980, 370), (680, 670), (980, 620)]"
6,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
6,MENU_NAVIGATION,5,"[(600, 210, 710, 400), (620, 370, 720, 640), (400, 590, 540, 760), (880, 390, 1030, 620), (450, 610, 610, 830)]"
6,DRAGGING,5,"[(1386, 360, 660, 560), (1266, 340, 520, 260), (1306, 280, 490, 780), (1336, 290, 510, 850), (590, 480, 1326, 340)]"
6,POINT_N_CLICK,5,"[(490, 534, 804, 210, 1368, 868), (1308, 494, 874, 858, 480, 220), (1398, 454, 884, 190, 440, 848), (1104, 494, 1358, 190, 420, 828), (1104, 798, 440, 240, 1378, 484)]"
7,BA_POINT,5,"[(620, 240), (1260, 230), (1330, 830), (1030, 420), (780, 340)]"
7,BA_LEFT_CLICK,5,"[(980, 770), (1240, 380), (470, 420), (1380, 560), (900, 460)]"
7,BA_RIGHT_CLICK,5,"[(1240, 440), (1270, 220), (420, 630), (410, 640), (1200, 710)]"
7,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
7,DRAGGING,5,"[(500, 780, 1106, 170), (540, 820, 1116, 230), (1246, 600, 590, 450), (1376, 560, 440, 530), (1246, 730, 630, 630)]"
7,POINT_N_CLICK,5,"[(764, 220, 1358, 524, 420, 868), (1388, 524, 1094, 858, 430, 220), (400, 180, 1308, 484, 914, 838), (420, 868, 824, 210, 1358, 504), (410, 544, 1034, 240, 1308, 818)]"
7,MENU_NAVIGATION,5,"[(640, 540, 740, 740), (1040, 250, 1240, 460), (670, 570, 770, 790), (1030, 250, 1190, 420), (1220, 570, 1320, 870)]"
8,BA_POINT,5,"[(1200, 440), (490, 150), (1260, 170), (440, 640), (430, 290)]"
8,BA_LEFT_CLICK,5,"[(770, 690), (790, 320), (1240, 320), (850, 680), (1080, 260)]"
8,BA_RIGHT_CLICK,5,"[(440, 570), (940, 590), (810, 200), (840, 830), (620, 660)]"
8,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
8,POINT_N_CLICK,5,"[(460, 200, 1338, 838, 904, 564), (714, 444, 1398, 240, 420, 858), (1348, 220, 794, 818, 440, 474), (754, 484, 440, 868, 1388, 160), (1024, 848, 1308, 564, 480, 180)]"
8,MENU_NAVIGATION,5,"[(1120, 620, 1320, 840), (720, 590, 890, 820), (900, 280, 1040, 470), (1070, 230, 1270, 460), (750, 670, 920, 830)]"
8,DRAGGING,5,"[(1326, 560, 550, 500), (510, 210, 1406, 350), (1246, 410, 420, 320), (470, 400, 1326, 660), (1266, 740, 410, 760)]"
9,BA_POINT,5,"[(1000, 600), (520, 570), (1100, 730), (1160, 690), (580, 770)]"
9,BA_LEFT_CLICK,5,"[(720, 670), (740, 330), (430, 780), (1180, 290), (1020, 820)]"
9,BA_RIGHT_CLICK,5,"[(1340, 530), (930, 510), (1050, 720), (1000, 630), (1150, 860)]"
9,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
9,MENU_NAVIGATION,5,"[(670, 440, 850, 600), (690, 660, 880, 880), (400, 290, 600, 450), (980, 610, 1110, 850), (710, 300, 840, 560)]"
9,DRAGGING,5,"[(520, 490, 1406, 260), (1136, 240, 500, 320), (1376, 430, 690, 500), (1236, 870, 640, 210), (1336, 560, 490, 800)]"
9,POINT_N_CLICK,5,"[(1338, 848, 400, 574, 1034, 220), (1308, 828, 450, 170, 834, 494), (1358, 180, 1064, 574, 460, 858), (1328, 564, 924, 788, 460, 170), (1378, 220, 420, 868, 1074, 514)]"
10,BA_POINT,5,"[(480, 660), (1310, 750), (1380, 540), (750, 520), (620, 600)]"
10,BA_LEFT_CLICK,5,"[(980, 530), (610, 840), (1050, 750), (940, 540), (1020, 200)]"
10,BA_RIGHT_CLICK,5,"[(880, 810), (1020, 510), (1270, 540), (1410, 260), (1040, 170)]"
10,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
10,DRAGGING,5,"[(400, 320, 1136, 390), (1326, 170, 490, 810), (1186, 660, 650, 720), (640, 380, 1216, 490), (520, 330, 1306, 610)]"
10,POINT_N_CLICK,5,"[(1004, 838, 490, 564, 1378, 200), (440, 220, 874, 838, 1408, 554), (924, 798, 1328, 150, 470, 514), (1328, 564, 500, 210, 934, 868), (480, 190, 834, 484, 1368, 878)]"
10,MENU_NAVIGATION,5,"[(1130, 430, 1310, 620), (1090, 580, 1250, 740), (940, 450, 1040, 620), (740, 330, 850, 510), (650, 600, 760, 780)]"
11,BA_POINT,5,"[(1110, 530), (1150, 180), (1140, 550), (740, 310), (710, 560)]"
11,BA_LEFT_CLICK,5,"[(700, 190), (1100, 750), (1200, 470), (1210, 460), (410, 780)]"
11,BA_RIGHT_CLICK,5,"[(880, 850), (530, 880), (1100, 310), (630, 740), (620, 800)]"
11,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
11,POINT_N_CLICK,5,"[(480, 584, 914, 878, 1368, 210), (1318, 180, 430, 868, 824, 554), (450, 564, 954, 818, 1398, 160), (1378, 170, 430, 828, 734, 514), (1318, 828, 834, 150, 430, 574)]"
11,MENU_NAVIGATION,5,"[(1150, 660, 1290, 880), (770, 530, 880, 800), (1250, 480, 1370, 770), (1040, 410, 1230, 630), (440, 710, 600, 860)]"
11,DRAGGING,5,"[(570, 500, 1406, 250), (430, 330, 1176, 870), (690, 700, 1386, 820), (1116, 640, 580, 440), (490, 600, 1186, 350)]"
12,BA_POINT,5,"[(490, 290), (790, 530), (640, 390), (1170, 440), (450, 880)]"
12,BA_LEFT_CLICK,5,"[(680, 280), (1320, 300), (580, 570), (1300, 370), (500, 810)]"
12,BA_RIGHT_CLICK,5,"[(400, 410), (1170, 490), (740, 710), (460, 490), (830, 680)]"
12,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
12,MENU_NAVIGATION,5,"[(860, 430, 980, 720), (630, 610, 730, 870), (650, 300, 770, 560), (960, 520, 1060, 760), (660, 640, 790, 880)]"
12,DRAGGING,5,"[(690, 310, 1326, 470), (1356, 500, 640, 650), (450, 680, 1366, 530), (1216, 370, 630, 280), (470, 210, 1216, 390)]"
12,POINT_N_CLICK,5,"[(814, 828, 1348, 524, 420, 220), (934, 524, 440, 828, 1338, 170), (450, 444, 1338, 170, 944, 798), (1378, 574, 1024, 818, 410, 160), (1368, 494, 954, 240, 410, 788)]"
