pid,task,count,configs
2,POINT_N_CLICK,5,"[(1398, 818, 1094, 574, 410, 220), (400, 180, 764, 848, 1318, 454), (1034, 464, 470, 190, 1408, 878), (490, 524, 1388, 150, 904, 808), (470, 564, 944, 160, 1378, 808)]"
2,MENU_NAVIGATION,5,"[(730, 580, 840, 870), (640, 630, 810, 870), (590, 570, 690, 800), (750, 170, 900, 430), (510, 450, 700, 710)]"
2,DRAGGING,5,"[(1276, 730, 530, 510), (520, 680, 1326, 250), (1346, 750, 690, 470), (1366, 280, 690, 870), (650, 870, 1366, 250)]"
3,BA_LEFT_CLICK,10,"[(730, 520), (890, 360), (1230, 580), (870, 390), (550, 490), (1390, 430), (1410, 410), (1180, 840), (1020, 260), (1150, 820)]"
3,BA_RIGHT_CLICK,10,"[(550, 190), (1010, 210), (590, 480), (610, 600), (1040, 710), (1290, 670), (850, 240), (1000, 700), (850, 680), (610, 710)]"
3,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
3,MENU_NAVIGATION,5,"[(1010, 180, 1180, 440), (740, 620, 900, 800), (1020, 310, 1170, 590), (760, 280, 900, 490), (420, 420, 570, 690)]"
3,DRAGGING,5,"[(470, 610, 1206, 790), (1256, 490, 420, 770), (620, 700, 1356, 290), (1206, 650, 680, 480), (1376, 490, 530, 770)]"
3,POINT_N_CLICK,5,"[(904, 544, 1348, 170, 410, 798), (1308, 180, 834, 564, 490, 788), (1368, 554, 450, 848, 744, 200), (460, 150, 1348, 878, 954, 494), (450, 444, 944, 160, 1368, 838)]"
4,BA_LEFT_CLICK,10,"[(1120, 460), (1380, 150), (1300, 250), (1170, 230), (1370, 650), (710, 250), (890, 430), (1000, 830), (570, 640), (940, 460)]"
4,BA_RIGHT_CLICK,10,"[(1180, 780), (630, 500), (1170, 620), (660, 270), (1370, 270), (760, 270), (460, 540), (1220, 800), (1020, 750), (570, 850)]"
4,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
4,DRAGGING,5,"[(430, 500, 1206, 450), (560, 360, 1286, 200), (1236, 550, 530, 860), (1256, 510, 700, 650), (1306, 600, 500, 580)]"
4,POINT_N_CLICK,5,"[(400, 444, 884, 150, 1358, 858), (420, 170, 754, 514, 1378, 818), (1328, 788, 814, 200, 460, 554), (1338, 160, 440, 818, 724, 574), (784, 818, 1348, 230, 420, 564)]"
4,MENU_NAVIGATION,5,"[(1080, 560, 1200, 760), (900, 370, 1060, 640), (430, 170, 570, 360), (1210, 220, 1310, 440), (1160, 330, 1340, 540)]"
5,BA_LEFT_CLICK,10,"[(820, 340), (700, 830), (680, 450), (1130, 540), (620, 750), (540, 230), (610, 510), (750, 700), (1390, 430), (1320, 800)]"
5,BA_RIGHT_CLICK,10,"[(1300, 560), (550, 300), (500, 660), (1180, 660), (1220, 470), (1100, 660), (560, 650), (1190, 190), (520, 450), (760, 350)]"
5,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
5,POINT_N_CLICK,5,"[(1004, 574, 470, 150, 1348, 788), (480, 220, 1348, 484, 884, 818), (884, 170, 1368, 454, 420, 788), (480, 160, 744, 818, 1318, 444), (1348, 454, 924, 858, 480, 190)]"
5,MENU_NAVIGATION,5,"[(1070, 180, 1170, 440), (650, 400, 830, 550), (490, 150, 630, 430), (460, 290, 600, 470), (550, 490, 740, 640)]"
5,DRAGGING,5,"[(1236, 530, 530, 220), (440, 540, 1136, 510), (530, 520, 1376, 320), (1226, 180, 510, 440), (1106, 160, 620, 860)]"
6,BA_LEFT_CLICK,10,"[(810, 270), (830, 550), (990, 220), (1100, 420), (1380, 560), (1070, 490), (540, 670), (920, 160), (810, 370), (1070, 280)]"
6,BA_RIGHT_CLICK,10,"[(1110, 800), (880, 870), (1050, 640), (760, 230), (720, 730), (880, 850), (450, 340), (1090, 470), (560, 170), (970, 600)]"
6,BA_SCROLL,5,"[(906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216), (906, 816, 906, 216)]"
6,MENU_NAVIGATION,5,"[(1140, 260, 1340, 420), (870, 250, 1070, 480), (630, 560, 830, 730), (1020, 490, 1140, 720), (590, 300, 720, 500)]"
6,DRAGGING,5,"[(1206, 420, 700, 560), (430, 840, 1266, 290), (610, 860, 1296, 780), (540, 680, 1136, 410), (1116, 150, 560, 410)]"
6,POINT_N_CLICK,5,"[(1318, 838, 450, 180, 814, 504), (884, 444, 470, 788, 1338, 160), (1328, 574, 964, 828, 450, 210), (1338, 818, 500, 524, 904, 160), (410, 544, 1014, 230, 1378, 808)]"
